-0.53 -1.36 -0.27 0.5 0.36 0.92 0.18 -0.45 0.56 -0.70 0 1
1.52 -3.37 -0.96 0.5 -0.40 0.88 0.25 0.42 -0.70 -0.57 0 0
3.24 0.70 2.18 0.5 -0.82 -0.18 -0.55 0.08 -0.13 -0.99 0 0
-1.06 -2.86 0.31 0.5 0.35 0.93 -0.10 0.78 0.20 0.59 0 1
-2.34 1.71 0.22 0.5 0.80 -0.59 -0.08 0.56 -0.66 -0.50 0 1
-2.34 1.24 -0.98 0.5 0.83 -0.44 0.35 0.29 0.46 -0.84 0 0
1.13 -2.11 2.09 0.5 -0.35 0.66 -0.66 -0.75 -0.16 0.64 0 0
0.31 -3.70 -0.18 0.5 -0.08 1.00 0.05 0.27 -0.74 -0.62 0 0
2.88 0.42 -1.46 0.5 -0.88 -0.13 0.45 -0.11 0.67 -0.74 0 0
1.12 3.41 1.42 0.5 -0.29 -0.88 -0.37 -0.22 0.77 -0.60 0 0
2.79 -0.55 -0.68 0.5 -0.95 0.19 0.23 -0.52 -0.25 -0.81 0 0
2.15 1.00 0.64 0.5 -0.88 -0.41 -0.26 0.45 0.73 0.51 0 0
1.35 -1.36 -2.84 0.5 -0.39 0.40 0.83 0.61 0.28 0.74 0 1
1.45 0.29 0.09 0.5 -0.98 -0.20 -0.06 0.18 -0.41 -0.89 0 1
0.24 -0.95 -0.28 0.5 -0.23 0.93 0.28 0.69 0.47 -0.55 0 0
-0.59 -3.38 -1.63 0.5 0.15 0.89 0.43 0.19 -0.94 0.28 0 1
2.31 -0.02 -0.36 0.5 -0.99 0.01 0.15 0.50 0.10 0.86 0 1
-1.36 2.86 -0.32 0.5 0.43 -0.90 0.10 0.01 0.74 0.68 0 0
-1.01 1.26 -0.37 0.5 0.61 -0.76 0.22 0.62 -0.28 0.73 0 1
-2.25 0.25 -0.53 0.5 0.97 -0.11 0.23 -0.72 -0.62 -0.31 0 0
-0.26 -1.25 1.61 0.5 0.13 0.61 -0.78 -0.88 0.46 0.15 0 0
-1.08 -0.94 -0.90 0.5 0.64 0.55 0.53 -0.72 0.13 -0.68 0 1
3.12 -0.47 -1.33 0.5 -0.91 0.14 0.39 0.68 0.67 0.29 0 0
1.88 -2.51 2.03 0.5 -0.50 0.67 -0.54 -0.96 -0.01 0.29 0 1
-0.81 -0.53 0.49 0.5 0.75 0.49 -0.45 0.25 -0.68 0.69 0 0
-1.45 -2.28 -1.47 0.5 0.47 0.74 0.48 -0.99 0.13 0.10 0 1
1.47 0.99 -1.07 0.5 -0.71 -0.48 0.52 -0.58 0.77 -0.26 0 0
-2.98 0.21 -0.05 0.5 1.00 -0.07 0.02 -0.60 -0.35 0.72 0 1
-2.24 0.93 -0.86 0.5 0.87 -0.36 0.34 -0.23 0.87 0.43 0 0
-0.51 1.51 -2.01 0.5 0.20 -0.59 0.78 0.61 -0.53 0.59 0 0
1.22 2.13 -1.22 0.5 -0.44 -0.78 0.45 -0.39 0.73 0.56 0 0
-1.21 1.54 -0.99 0.5 0.55 -0.70 0.45 0.83 -0.12 -0.55 0 1
-0.23 -2.32 -0.37 0.5 0.10 0.98 0.16 -0.52 0.08 -0.85 0 0
0.09 -2.76 0.24 0.5 -0.03 1.00 -0.09 -0.21 0.35 -0.91 0 1
1.66 0.54 0.42 0.5 -0.92 -0.30 -0.24 0.68 -0.14 0.71 0 1
-0.69 -0.84 -1.41 0.5 0.39 0.47 0.79 0.35 0.79 0.49 0 1
-2.25 -1.39 -0.71 0.5 0.82 0.51 0.26 -0.62 -0.58 0.52 0 1
-0.02 0.11 -0.99 0.5 0.02 -0.11 0.99 -0.06 -0.27 0.96 0 1
0.38 -1.29 -0.12 0.5 -0.28 0.96 0.09 0.57 0.76 0.31 0 1
1.61 -1.98 0.95 0.5 -0.59 0.73 -0.35 -0.66 0.62 -0.44 0 0
1.63 -1.68 -0.83 0.5 -0.66 0.68 0.33 0.56 -0.57 0.60 0 1
-2.40 0.58 -1.91 0.5 0.77 -0.19 0.61 0.79 0.61 0.11 0 1
0.47 0.64 -0.78 0.5 -0.42 -0.57 0.70 0.02 0.47 0.88 0 0
-2.89 -0.74 1.18 0.5 0.90 0.23 -0.37 -0.40 -0.72 0.57 0 1
0.26 -0.29 -1.99 0.5 -0.13 0.14 0.98 0.87 -0.49 0.11 0 1
-1.39 2.39 -1.04 0.5 0.47 -0.81 0.35 0.64 0.47 -0.62 0 0
-0.73 0.11 -1.52 0.5 0.43 -0.07 0.90 0.74 -0.12 -0.67 0 0
0.11 -1.68 0.87 0.5 -0.06 0.89 -0.46 -0.73 0.61 0.30 0 1
1.86 1.79 -0.33 0.5 -0.72 -0.69 0.13 0.53 -0.61 -0.59 0 1
0.90 1.38 -2.88 0.5 -0.27 -0.42 0.87 -0.19 0.98 0.07 0 0
0.26 -1.95 -0.78 0.5 -0.12 0.92 0.37 -0.15 0.60 -0.78 0 1
-1.07 -1.94 -0.44 0.5 0.47 0.86 0.20 0.06 0.68 0.73 0 0
-1.91 0.11 0.23 0.5 0.99 -0.06 -0.12 0.04 -0.96 0.27 0 0
-0.57 -0.75 -2.13 0.5 0.24 0.32 0.91 0.45 -0.86 -0.22 0 0
-0.94 1.28 0.38 0.5 0.57 -0.79 -0.23 0.54 -0.65 0.53 0 0
1.77 2.00 0.80 0.5 -0.64 -0.72 -0.29 0.32 -0.40 0.86 0 0
1.58 -1.29 -2.55 0.5 -0.48 0.40 0.78 0.72 0.68 -0.11 0 1
-2.52 -2.06 1.93 0.5 0.67 0.54 -0.51 -0.42 -0.83 0.37 0 0
-2.55 1.14 -0.53 0.5 0.90 -0.40 0.19 -0.00 -1.00 -0.04 0 0
1.07 0.50 0.01 0.5 -0.91 -0.42 -0.01 -0.41 0.87 -0.27 0 1
-1.26 1.14 -0.66 0.5 0.69 -0.63 0.36 0.22 0.57 0.79 0 0
0.09 1.90 -0.85 0.5 -0.04 -0.91 0.41 -0.16 0.85 0.49 0 1
0.70 2.30 -2.61 0.5 -0.20 -0.65 0.74 0.89 0.33 0.33 0 1
-0.99 0.35 1.70 0.5 0.50 -0.17 -0.85 1.00 0.00 0.10 0 1
1.38 0.76 0.74 0.5 -0.79 -0.44 -0.42 0.36 -0.60 0.71 0 1
1.25 -0.90 -0.17 0.5 -0.81 0.58 0.11 -0.64 0.54 0.55 0 0
-1.81 -1.13 2.16 0.5 0.60 0.37 -0.71 -0.05 0.34 -0.94 0 0
0.56 3.12 2.05 0.5 -0.15 -0.83 -0.54 0.62 0.67 0.42 0 0
2.66 -0.63 0.72 0.5 -0.94 0.22 -0.26 0.69 -0.36 -0.63 0 1
1.97 1.08 0.96 0.5 -0.81 -0.44 -0.39 0.59 0.21 -0.78 0 1
-1.39 -1.36 -1.90 0.5 0.51 0.50 0.70 -0.06 -0.60 0.80 0 1
-1.33 1.16 2.92 0.5 0.39 -0.34 -0.86 -0.50 0.02 -0.86 0 1
1.55 -2.37 2.77 0.5 -0.39 0.60 -0.70 -0.20 0.56 0.81 0 1
